c1ccsc1
Sc1cscc1S
Sc1csc(S)c1
Sc1ccsc1S
Sc1ccsc1
Sc1cccs1
Sc1ccc(S)s1
Oc1sccc1S
Oc1sccc1F
Oc1cscc1S
Oc1cscc1O
Oc1cscc1F
Oc1csc(S)c1
Oc1csc(O)c1
Oc1csc(F)c1
Oc1ccsc1S
Oc1ccsc1O
Oc1ccsc1F
Oc1ccsc1
Oc1cccs1
Oc1ccc(S)s1
Oc1ccc(O)s1
Oc1ccc(F)s1
Oc1cc(S)cs1
Oc1cc(F)cs1
Nc1sccc1S
Nc1sccc1O
Nc1sccc1F
Nc1cscc1S
Nc1cscc1O
Nc1cscc1N
Nc1cscc1F
Nc1csc(S)c1
Nc1csc(O)c1
Nc1csc(N)c1
Nc1csc(F)c1
Nc1ccsc1S
Nc1ccsc1O
Nc1ccsc1N
Nc1ccsc1F
Nc1ccsc1
Nc1cccs1
Nc1ccc(S)s1
Nc1ccc(O)s1
Nc1ccc(N)s1
Nc1ccc(F)s1
Nc1cc(S)cs1
Nc1cc(O)cs1
Nc1cc(F)cs1
Fc1sccc1S
Fc1cscc1S
Fc1cscc1F
Fc1csc(S)c1
Fc1csc(F)c1
Fc1ccsc1S
Fc1ccsc1F
Fc1ccsc1
Fc1cccs1
Fc1ccc(S)s1
Fc1ccc(F)s1
Fc1cc(S)cs1
Cc1sccc1S
Cc1sccc1O
Cc1sccc1N(C)C
Cc1sccc1N
Cc1sccc1F
Cc1cscc1S
Cc1cscc1O
Cc1cscc1N(C)C
Cc1cscc1N
Cc1cscc1F
Cc1cscc1C
Cc1csc(S)c1
Cc1csc(O)c1
Cc1csc(N)c1
Cc1csc(N(C)C)c1
Cc1csc(F)c1
Cc1csc(C)c1
Cc1ccsc1S
Cc1ccsc1O
Cc1ccsc1N(C)C
Cc1ccsc1N
Cc1ccsc1F
Cc1ccsc1C
Cc1ccsc1
Cc1cccs1
Cc1ccc(S)s1
Cc1ccc(O)s1
Cc1ccc(N)s1
Cc1ccc(N(C)C)s1
Cc1ccc(F)s1
Cc1ccc(C)s1
Cc1cc(S)cs1
Cc1cc(O)cs1
Cc1cc(N)cs1
Cc1cc(N(C)C)cs1
Cc1cc(F)cs1
CN(C)c1sccc1S
CN(C)c1sccc1O
CN(C)c1sccc1N
CN(C)c1sccc1F
CN(C)c1cscc1S
CN(C)c1cscc1O
CN(C)c1cscc1N(C)C
CN(C)c1cscc1N
CN(C)c1cscc1F
CN(C)c1csc(S)c1
CN(C)c1csc(O)c1
CN(C)c1csc(N)c1
CN(C)c1csc(N(C)C)c1
CN(C)c1csc(F)c1
CN(C)c1ccsc1S
CN(C)c1ccsc1O
CN(C)c1ccsc1N(C)C
CN(C)c1ccsc1N
CN(C)c1ccsc1F
CN(C)c1ccsc1
CN(C)c1cccs1
CN(C)c1ccc(S)s1
CN(C)c1ccc(O)s1
CN(C)c1ccc(N)s1
CN(C)c1ccc(N(C)C)s1
CN(C)c1ccc(F)s1
CN(C)c1cc(S)cs1
CN(C)c1cc(O)cs1
CN(C)c1cc(N)cs1
CN(C)c1cc(F)cs1
